text,label,f_score
"@PowerTripKFAN Adrian foi criado assim e chegou à NFL. Talvez ele tenha pensado que isso motivaria seu filho a chegar lá também?
",1,0.8474668205791523
"@ vincent_h3 Às 2h30? Quem vai adicionar como favorito? Uma coruja?
",0,0.3493157261640784
"MAMA - uma premiação coreana que será realizada em Hong Kong e será encabeçada por um artista americano
",1,0.8151789087845139
"SEM DOR SEM GANHO ! | #Fit #Fitness #gym | #No #Give #Up 👊💪 http://t.co/SUDpHIbdEZ
",0,0.689220378812608
"Agora, oficialmente, pareço solteiro. Ha o
",1,0.46873658599050744
"Por 9 mil por ano, definitivamente obtemos todas as informações de que precisamos nesta aula prática
",1,0.6992028477258063
"Mal posso esperar para ver que ele não falou comigo e que nunca vai fazer isso.
",1,0.6965224403355881
"@ TonyBrown03 essa é a parte fácil. Dar dinheiro ao meu homem para ir pegar todo o meu amanhã de manhã não pode ser estressante para a cidade
",0,0.6553171267689999
"@MagicManRAW @YankeesWFAN você não sabe absolutamente nada sobre beisebol, não é?
",0,0.7007988808261914
"@DFDSUKUpdates por que todos os atrasos? feliz
",0,0.8076474872624754
"É hora de continuar limpando meu armário. Feliz feliz alegria Alegria.
",1,0.599059243345432
"Sim, o baile é o evento mais importante da sua vida
",1,0.6572188674951779
"Quel domage RT @CFL_News: Não Canadá: Bills na série TO, que foi um fracasso colossal, foi cancelado http://t.co/LBIF1WE2pW #CFL #NFL
",1,0.7871158276765989
"Eu simplesmente adoro quando meus amigos me dão descrições completas de seus movimentos intestinais ... #WHY #PARA
",1,0.6743779469721983
"@eiafc sério na seção de roupas F&F
",0,0.669250208123683
"Preso atrás de alguém que não consegue cumprir o limite de velocidade #lateforwork #fuck #happymonday
",1,0.8086281097488902
"Eu não sabia que a história de Noah tinha transformadores. Cara, o conto bíblico moderno o matasssssso. #whatarethelivingrockpeoplefor
",1,0.6961140003424875
"http://t.co/6mNkIirqSL #TeenAnalCasting #VIRGIN VIRGIN] virgem adolescente bonita brincando em seu quarto de hotel em uma calcinha gstring azul apertada!
",0,0.7503422128134818
"Acabei de receber a mensagem de que preciso começar a trabalhar em outro local. Brilhante! agora correndo para o segundo local. Oh Deus eu odeio segundas-feiras
",1,0.6623959154060847
"@conorcoughlan_ Estar fazendo projetos para a universidade o dia todo! Minha vida é tãããão interessante
",1,0.8454812240331092
"Quizfreak http://t.co/Xh84TdHpoc #proud #Brummie aqui xxx
",0,0.8151190998301262
"Escolha suas palavras com cuidado, ferindo os sentimentos de alguém não é o caminho certo a seguir.
",0,0.8472549393648392
"estilo de vestido #kimk !!! @ amor é isso ou? #balenciaga #kimkardashianwest #kimkardashian #vestito #moda # 2014 #go ... http://t.co/pS7ynPlSjE
",0,0.607768314870177
"Um novo ano prestes a começar | Tantas pessoas vieram, tantas foram | Mas sempre o que se foi é melhor.
",0,0.6722569677613303
"Casper, o fantasma amigável em 2 níveis! #thingsmichelleobamathinksareracist
",0,0.8324750444230146
"Quando esse bish deixar de seguir você #disney #belle #MoreFollowersPlease http://t.co/i549jbbPLK
",1,0.7470123934656143
"Eles nem ouvem nosso pedido falar sobre ótimo atendimento ao cliente 👎
",1,0.6441309954260046
"@mrjamieeast Acho que foram os donos do hotel ...
",0,0.7716289395450464
"@adambelz @lee_osp @Vruno sempre que escrevo algo com a palavra ""imigração"", fico feliz se houver idas e vindas.
",0,0.6530308166778209
"Comprometido com você, sua privacidade e uma Web aberta | Ative o JavaScript para exibir esta página corretamente. || página inicial do Firefox
",1,0.7245078691123309
"@ Big6domino @CNN Bem, esse é um argumento completamente bem fundamentado e pensado. Você mudou minha mente !!! #Ferguson
",1,0.6314693520875342
"@treacle1690CCA @ billyf73 o bom e velho JK colocando as pessoas em apuros novamente, ffs William, pensei que você fosse mais experiente do que isso
",1,0.7133780143133934
"@SouthamptonFC @LFC @SkySports Mais uma vez, os fãs vêm em segundo lugar. obrigado novamente
",1,0.6104455968637353
"As vítimas de Bhopal não obtêm justiça após 30 anos, mas não encontram lugar no auge e um homem viajando a negócios é notícia do horário nobre.
",1,0.6414192388952988
"e ele atende ligações quando seu telefone funciona @TheLexZane @ RBRNetwork1 @billvanglahn @SSGAngle @Steven_Swenson @JoeHilgerman
",0,0.7925887438518093
"A entrevista foi cancelada, não por causa da Coreia do Norte, mas porque a imensa comédia iria explodir nossas mentes mortais
",1,0.7195085719729998
"@avaskoog Café sem cafeína? Sim, vou querer isso da próxima vez que comer uma fatia de cheesecake sem açúcar ...: P
",1,0.4712313915483334
" #Bra #Fitting #Guide #Como #diy #crafts | RT: http://t.co/aw58siFjFF http://t.co/ZwX1w60mIU
",0,0.8100448812921454
"Senhor, tenha misericórdia de nós. A nação mais poderosa do mundo é governada por duas famílias. #Bush #Clinton #wasps # elxn2016 http://t.co/32ao1G9H5V
",0,0.7795737996235036
"@raeraeduke sua inscrição já está lotada esperando você completar 21 anos
",1,0.720284680170437
"Então correu bem
",1,0.5094243550159196
"Primeiro mano a agarrar por trás Sem homo
",0,0.6738603701105101
"Confira este canal no YouTube: https://t.co/4t87VM36Y5
",0,0.5870197450907275
"Absolutamente ótimo não ter aula da metade 10 até a metade 3 hoje #zzzz
",1,0.6944906255751926
"Bebendo um Mercúrio: The Winged Messenger (Planet Series) por @BellsBrewery - http://t.co/iOGZRrSfgl #photo
",0,0.9315349207789569
